#Trigger Channel,#Trigger Button,#Deadman Button,#Return Channel,#AudioBox Filename,#Script Name,#Disable Firing Button,#Alternate Firing Button,#Alternate 2 Firing Button,,
1,STEP,,1,,2026 Show FINAL,,,,,
#Event Time,#Channel,#Cue,#Event Description,#Disable Groups,#Fire Time,#AUX Value,#DMX Universe,#DMX Channel,#DMX Value,#DMX Duration
STEP,1,16,Strobe beacon (1 / 90s) - PRESS 1: show-live beacon; then start the music on the phone,,,,,,,
STEP,1,1,Nothing But Balls #1 (100 / 35s) - PRESS 2 AT MIX 0:06 (2s before the first lyric): paired wall + starts the automated clock,,,,,,,
00:00.00s,2,1,Nothing But Balls #2 (100 / 35s) - paired wall fires with your press,,,,,,,
00:33.00s,1,2,American Eagle (170 / 35s) - LOW R/W/B fan ON AK chorus 1 (0:39),,,,,,,
01:12.00s,2,2,Leviathan (16 / 25s) - high+low breaks bridge to the chorus-2 burst,,,,,,,
01:30.50s,1,3,Mortars 4x4 (16 / 105s) - 3-shell BURST ~1:42 on AK chorus 2 then simmer to ~3:23,,,,,,,
01:36.00s,2,3,Neon Swarm (16 / 23s) - LOW swarm with the chorus-2 burst,,,,,,,
02:29.00s,1,4,Rainbow Crush (45 / 31s) - color over the OIA verse (4x4 simmer under),,,,,,,
03:11.50s,2,4,The Duel (200 / 41s) - R/B anchor ON OIA chorus 2 (3:17.5),,,,,,,
03:47.30s,1,5,Mortars 3x6 fan (18 / 40s) - opening TRIPLE ~3:58.8 on final choruses; fan wall to ~4:33,,,,,,,
03:52.80s,2,5,Black Panther (12 / 40s) - CAKE ANCHOR ON final choruses (3:58.8); HIGH breaks under the fan wall,,,,,,,
04:14.00s,1,6,Nuclear Rain (36 / 50s) - STANDALONE FEATURE 4:20-5:10: green fallout owns the ring-down and hangs into ALL ABOARD,,,,,,,
04:46.10s,2,6,Zeus (70 / 35s) - mines and breaks rip ON ALL ABOARD (4:52.1),,,,,,,
05:19.00s,1,7,Captain Marvel (12 / 40s) - whistle tails to crowns through the verse,,,,,,,
06:00.00s,2,7,Juggernaut (22 / 37s) - gold brocade ON CT chorus hook (6:06),,,,,,,
06:34.00s,1,8,Wild Willow (25 / 42s) - willows bridge the cut and gap into the false finale,,,,,,,
07:15.10s,1,9,Neon Pearls #1 (100 / 39s) - PAIRED low fan wall at the Thunderstruck chants,,,,,,,
07:15.10s,2,8,Neon Pearls #2 (100 / 39s) - paired wall opposite station,,,,,,,
07:19.00s,1,10,Mortars 1x21 bed (21 / 101s) - crown under the whole build; breaks ~7:30.5-9:07,,,,,,,
07:44.00s,2,9,War Cry (56 / 34s) - fanning whistles SCREAM under the build (7:50-8:24),,,,,,,
07:49.00s,1,11,Magical Neon Willow (26 / 48s) - willows over the 8:05/8:19 build hits,,,,,,,
07:59.20s,2,10,God of Thunder (23 / 23s) - name-match ON the 8:05.2 build hit,,,,,,,
08:13.20s,1,12,Insurgent (16 / 24s) - loud breaks ON the 8:19.2 build hit,,,,,,,
08:22.00s,2,11,Mortars 3x7 fan (21 / 39s) - CROWN barrage over the climax; triples 8:33.5-9:07 die with the bed,,,,,,,
08:27.00s,1,13,WOW! (49 / 40s) - false-finale peak; DIES AT 9:13 with the fade,,,,,,,
09:43.75s,2,12,Bad Ass Brocade #1 (83 / 43s) - DIRECTIONAL SET fired together at 9:49.75; wall dies 10:32.75 ON the final chord,,,,,,,
09:43.75s,1,14,Bad Ass Brocade #2 (83 / 43s) - directional set center,,,,,,,
09:43.75s,2,13,Bad Ass Brocade #3 (83 / 43s) - directional set; dies with the chord as the 1x9 takes over,,,,,,,
10:21.30s,2,14,Mortars 1x9 (9 / 9s) - EXCLAMATION: all nine ON the final chord 10:32.8,,,,,,,
END,,,,,,,,,,
